Subject,AverageAbsoluteVelocity,AbsoluteSize
66,4.3232,0.2924
66,6.171,0.7543
66,0.8178,0.0425
66,8.5161,1.0136
66,5.7312,0.593
66,7.8332,0.8288
67,4.8519,0.6496
67,4.5324,0.6524
67,5.274,0.656
67,5.2749,0.6983
67,6.1369,0.6995
67,5.0279,0.6513
67,4.5642,0.5911
67,6.2233,0.7088
67,5.8751,0.7905
67,4.9835,0.5889
68,6.218,0.6153
68,7.5599,0.5615
68,7.0886,0.6577
68,6.8386,0.6777
68,7.5755,0.6227
68,2.3442,0.121
68,3.6202,0.302
68,5.9502,0.5182
68,7.1089,0.5568
68,6.1077,0.5077
69,0.4674,0.0496
69,1.2589,0.1556
69,0.512,0.0607
69,0.4221,0.0161
69,0.6161,0.0917
69,0.81,0.1918
69,1.2504,0.1546
69,0.9037,0.1126
69,0.4438,0.0548
69,0.6201,0.0717
70,11.6599,1.3847
70,15.8513,1.886
70,15.4564,1.7603
70,14.5327,1.6627
70,14.6947,1.6745
70,13.7179,1.7039
70,13.9683,1.5952
70,13.0697,1.5556
70,12.4042,1.6016
70,13.8881,1.7298
71,4.5595,0.6236
71,8.8225,0.9626
71,8.3813,0.8711
71,9.1961,0.9129
71,8.5454,0.9317
71,8.6303,0.898
71,8.5465,0.8485
71,7.648,0.7954
71,8.6351,0.9449
71,7.4002,0.7716
72,2.0275,0.5381
72,2.9218,0.7084
72,3.848,0.6988
72,3.596,0.7319
72,3.4148,0.6755
72,3.4747,0.6328
72,4.6065,0.6506
72,4.9769,0.7786
72,5.7267,0.8206
72,4.9637,0.7282
73,5.6306,0.6812
73,6.8795,0.8147
73,7.2992,0.7944
73,6.6231,0.8138
73,5.9108,0.7265
73,6.4042,0.7854
73,7.9254,0.9047
73,7.2605,0.7701
73,5.782,0.6769
73,1.6349,0.1054
74,2.6202,0.4639
74,5.0343,0.8757
74,4.2542,0.6832
74,13.1649,1.5602
74,12.6268,1.7232
74,4.6255,0.6818
74,5.4854,0.7213
74,10.3536,1.363
74,11.2979,1.2709
74,4.091,0.631
75,2.4314,0.2279
75,0.7947,0.0737
75,3.1186,0.2339
75,1.394,0.1306
75,2.4073,0.1449
75,2.2028,0.1695
75,1.6072,0.1522
75,2.3995,0.1757
75,1.6594,0.1859
75,2.875,0.2287
76,3.0235,0.3586
76,3.7365,0.3666
76,3.9949,0.3968
76,3.8024,0.4081
76,3.2613,0.3569
76,3.0418,0.3821
76,3.4848,0.3839
76,3.8075,0.3713
76,3.5368,0.3839
76,3.9257,0.3965
77,7.2027,0.6367
77,6.6655,0.5953
77,6.1752,0.6293
77,7.9378,0.7753
77,6.5435,0.5549
77,6.22,0.5956
77,7.6921,0.7132
77,8.5823,0.7304
77,7.2722,0.6648
77,5.8719,0.5502
78,5.0819,0.7604
78,8.0094,1.0339
78,6.3967,0.9529
78,6.8815,1.0295
78,6.3275,1.0099
78,5.702,0.8252
78,6.2686,0.9673
78,7.5867,0.9453
78,6.0758,0.842
78,5.3465,0.7429
79,5.3037,0.8701
79,8.3322,1.0972
79,7.4122,1.0809
79,7.7723,1.1594
79,2.3071,0.0681
79,1.5594,0.0354
79,8.7382,1.1497
79,9.0058,1.3268
79,1.7089,0.031
79,9.2543,1.3473
80,5.2375,0.7017
80,8.261,1.0611
80,6.1701,0.7972
80,7.5484,0.9015
80,8.5664,1.1068
80,6.5622,0.7542
80,8.5917,0.9386
80,8.3258,0.9944
80,12.8463,1.1824
80,7.7244,0.9581
81,6.8425,0.9001
81,6.397,0.7711
81,2.2195,0.1884
81,9.9587,1.0568
81,6.5538,0.7538
81,8.3579,0.916
81,8.2976,0.9097
81,10.2931,1.0636
81,9.0495,0.9648
81,10.6257,1.1666
82,5.4198,0.4697
82,9.4613,1.078
82,11.8962,1.1843
82,7.7888,0.9068
82,9.2293,0.8913
82,8.5609,0.9644
82,11.1067,1.093
82,10.456,1.1561
82,9.2292,0.9694
82,10.0678,1.0635
83,11.8665,0.862
83,10.7119,0.7464
83,11.3389,0.8036
83,8.3732,0.6672
83,10.0135,0.7357
83,12.4899,0.9003
83,13.7997,0.9674
83,14.0727,0.9997
83,11.142,0.8132
83,12.9874,1.0418
84,2.5449,0.743
84,6.6243,1.0672
84,7.7806,1.0191
84,6.3659,1.1087
84,7.1576,1.0766
84,6.176,1.0884
84,3.3037,0.1381
84,5.7598,0.8966
84,7.5479,1.2269
84,7.4475,1.0734
85,4.9893,0.4013
85,6.2422,0.4907
85,5.8668,0.3814
85,6.3928,0.4312
85,4.6933,0.3817
85,4.2049,0.265
85,1.3757,0.0568
85,4.3528,0.2921
85,4.792,0.3515
85,5.1896,0.3757
86,4.5676,0.3546
86,3.5677,0.2888
86,4.208,0.3814
86,4.8071,0.3812
86,3.6689,0.338
86,7.4101,0.6933
86,3.6016,0.3134
86,4.1815,0.31
86,4.5283,0.3415
86,3.8961,0.3468
87,5.9752,0.3311
87,4.0764,0.165
87,6.3899,0.3799
87,4.6495,0.2149
87,4.9959,0.3129
87,13.3178,1.0583
87,5.9496,0.2844
87,4.7617,0.2064
87,4.7779,0.1583
87,1.5079,0.1237
88,5.3659,0.3355
88,12.3573,1.3192
88,6.6182,0.4091
88,7.587,0.5342
88,15.019,1.6132
88,8.3711,0.4561
88,15.7438,1.6879
88,7.3876,0.4404
88,15.8495,1.6673
88,14.4527,1.7369
89,1.621,0.3169
89,3.6752,0.3849
89,2.8988,0.3897
89,2.29,0.2611
89,1.7667,0.2809
89,4.01,0.3977
89,3.8521,0.3637
89,3.7334,0.3895
89,5.1075,0.509
89,4.8969,0.5271
90,4.8293,0.5316
90,9.7034,0.9924
90,9.7153,0.9574
90,9.0263,0.8303
90,8.4112,0.8162
90,8.513,0.9054
90,14.0013,1.227
90,15.9189,1.3341
90,9.9699,0.9234
90,8.9707,0.7947
91,3.9247,0.7708
91,4.6243,0.6189
91,4.7081,0.6314
91,5.0994,0.7883
91,5.783,0.8351
91,4.7282,0.7549
91,5.3934,0.7791
91,4.8341,0.8423
91,5.2411,0.8374
91,5.1676,0.9064
92,6.7229,0.7005
92,2.531,0.3064
92,8.1494,0.7178
92,10.5232,0.8204
92,7.8783,0.7425
92,9.6717,0.8486
92,8.4417,0.8263
92,9.2162,0.7542
92,9.6789,0.7822
92,4.8142,0.5152
